iter	Passed	Remaining
1385	90813	236796
1386	90883	236742
1387	90950	236682
1388	91019	236624
1389	91088	236567
1390	91159	236517
1391	91227	236458
1392	91295	236398
1393	91361	236334
1394	91425	236265
1395	91491	236200
1396	91556	236133
1397	91623	236070
1398	91689	236007
1399	91753	235937
1400	91819	235874
1401	91886	235810
1402	91952	235747
1403	92018	235683
1404	92085	235621
1405	92150	235554
1406	92215	235485
1407	92280	235420
1408	92345	235353
1409	92413	235292
1410	92480	235231
1411	92547	235170
1412	92613	235106
1413	92680	235045
1414	92756	235005
1415	92828	234954
1416	92896	234896
1417	92965	234839
1418	93039	234794
1419	93112	234748
1420	93188	234710
1421	93256	234649
1422	93324	234591
1423	93393	234533
1424	93461	234473
1425	93529	234414
1426	93597	234354
1427	93663	234288
1428	93729	234224
1429	93796	234163
1430	93863	234102
1431	93933	234045
1432	94000	233985
1433	94067	233923
1434	94134	233861
1435	94202	233801
1436	94270	233741
1437	94337	233679
1438	94405	233618
1439	94475	233563
1440	94546	233512
1441	94617	233460
1442	94685	233400
1443	94750	233332
1444	94816	233267
1445	94883	233206
1446	94951	233146
1447	95017	233081
1448	95085	233020
1449	95153	232961
1450	95221	232902
1451	95288	232840
1452	95356	232778
1453	95422	232714
1454	95488	232649
1455	95555	232589
1456	95624	232531
1457	95694	232476
1458	95761	232414
1459	95829	232354
1460	95896	232292
1461	95962	232227
1462	96030	232167
1463	96096	232101
1464	96163	232038
1465	96233	231983
1466	96304	231930
1467	96373	231873
1468	96440	231811
1469	96506	231746
1470	96573	231683
1471	96642	231626
1472	96710	231566
1473	96777	231505
1474	96843	231439
1475	96909	231374
1476	96977	231314
1477	97045	231254
1478	97114	231195
1479	97181	231134
1480	97248	231072
1481	97318	231015
1482	97385	230955
1483	97450	230887
1484	97515	230819
1485	97580	230751
1486	97643	230681
1487	97709	230614
1488	97775	230550
1489	97844	230491
1490	97912	230433
1491	97981	230374
1492	98050	230316
1493	98118	230255
1494	98186	230195
1495	98251	230129
1496	98317	230064
1497	98384	230001
1498	98452	229940
1499	98518	229875
1500	98583	229808
1501	98647	229738
1502	98711	229670
1503	98775	229599
1504	98840	229533
1505	98905	229465
1506	98970	229397
1507	99035	229331
1508	99101	229267
1509	99166	229199
1510	99233	229137
1511	99300	229074
1512	99368	229013
1513	99433	228946
1514	99498	228878
1515	99563	228812
1516	99629	228746
1517	99695	228681
1518	99760	228615
1519	99825	228548
1520	99891	228483
1521	99962	228429
1522	100033	228375
1523	100111	228337
1524	100186	228292
1525	100263	228253
1526	100381	228308
1527	100463	228278
1528	100537	228231
1529	100641	228251
1530	100730	228239
1531	100807	228197
1532	100881	228150
1533	100955	228104
1534	101027	228052
1535	101107	228018
1536	101182	227972
1537	101248	227907
1538	101314	227842
1539	101400	227821
1540	101483	227794
1541	101559	227750
1542	101629	227695
1543	101705	227651
1544	101779	227604
1545	101855	227560
1546	101935	227525
1547	102006	227471
1548	102079	227421
1549	102152	227372
1550	102227	227327
1551	102300	227276
1552	102375	227231
1553	102443	227169
1554	102514	227114
1555	102591	227071
1556	102663	227020
1557	102731	226958
1558	102797	226892
1559	102864	226829
1560	102931	226766
1561	103000	226706
1562	103065	226638
1563	103129	226569
1564	103193	226498
1565	103260	226435
1566	103328	226373
1567	103397	226313
1568	103467	226255
1569	103535	226195
1570	103605	226138
1571	103677	226086
1572	103746	226026
1573	103813	225962
1574	103880	225899
1575	103945	225830
1576	104009	225761
1577	104076	225696
1578	104142	225630
1579	104206	225561
1580	104272	225495
1581	104337	225427
1582	104401	225357
1583	104466	225287
1584	104530	225218
1585	104596	225152
1586	104661	225085
1587	104725	225015
1588	104791	224949
1589	104857	224884
1590	104923	224817
1591	104992	224757
1592	105057	224689
1593	105123	224623
1594	105188	224556
1595	105254	224490
1596	105319	224421
1597	105384	224354
1598	105451	224289
1599	105517	224225
1600	105583	224159
1601	105650	224095
1602	105715	224028
1603	105781	223961
1604	105848	223897
1605	105912	223828
1606	105979	223763
1607	106044	223696
1608	106112	223633
1609	106179	223569
1610	106246	223507
1611	106313	223442
1612	106380	223379
1613	106448	223318
1614	106514	223251
1615	106580	223185
1616	106645	223117
1617	106708	223045
1618	106772	222975
1619	106836	222905
1620	106901	222838
1621	106966	222769
1622	107030	222700
1623	107095	222631
1624	107160	222564
1625	107225	222496
1626	107290	222428
1627	107355	222359
1628	107419	222291
1629	107483	222220
1630	107547	222151
1631	107612	222082
1632	107677	222014
1633	107741	221944
1634	107805	221874
1635	107869	221805
1636	107933	221735
1637	107998	221666
1638	108062	221596
1639	108125	221525
1640	108189	221454
1641	108255	221389
1642	108321	221324
1643	108386	221255
1644	108454	221194
1645	108520	221128
1646	108585	221060
1647	108649	220990
1648	108712	220918
1649	108776	220848
1650	108841	220781
1651	108907	220716
1652	108972	220647
1653	109035	220576
1654	109102	220511
1655	109166	220441
1656	109230	220373
1657	109296	220307
1658	109361	220238
